,otg_id,electrical_capacity,geom
6772,25480,0,0101000020E6100000F7D552F8AD6420403515912655974A40
6773,26407,170.66,0101000020E6100000AC9C553E0BB52740D23815C627384840
6774,26407,0,0101000020E6100000AC9C553E0BB52740D23815C627384840
6775,23891,0,0101000020E6100000D829612577C32540F6220E5D3ABE4840
6776,23891,171.94,0101000020E6100000D829612577C32540F6220E5D3ABE4840
6777,28153,35.03,0101000020E61000001827298741D72640BF9AFCB7F9234A40
6778,28153,175.69,0101000020E61000001827298741D72640BF9AFCB7F9234A40
6779,28153,0,0101000020E61000001827298741D72640BF9AFCB7F9234A40
6780,27127,0,0101000020E610000013810EBB7543294091F592E99A5F4940
6781,27127,169.13,0101000020E610000013810EBB7543294091F592E99A5F4940
6782,24831,179.55,0101000020E610000018B1011545802B403874557DDC8E4940
6783,24831,0,0101000020E610000018B1011545802B403874557DDC8E4940
6784,26446,178.26,0101000020E6100000318395B7014927407B8A0AE1E2394940
6785,26446,0,0101000020E6100000318395B7014927407B8A0AE1E2394940
6786,27067,165.57,0101000020E6100000D1852004D9F127409475B18CE3C34940
6787,27067,0,0101000020E6100000D1852004D9F127409475B18CE3C34940
6788,24706,0,0101000020E61000002B0E51D60347254096596D0DB01B4A40
6789,24706,171.63,0101000020E61000002B0E51D60347254096596D0DB01B4A40
6790,23720,172.93,0101000020E610000080FDA9E9C18C2740C9869B984AFC4740
6791,23720,0,0101000020E610000080FDA9E9C18C2740C9869B984AFC4740
6792,26660,179.44,0101000020E610000027E4D529363F2840F5B782ADD8D74840
6793,27032,0,0101000020E61000007A45A0D4282923409DBA173D53A74940
6794,27032,0,0101000020E61000007A45A0D4282923409DBA173D53A74940
6795,27032,169.54,0101000020E61000007A45A0D4282923409DBA173D53A74940
6796,25671,0,0101000020E61000002DC3B3FABCD4214091D47C28EC274940
6797,25671,167.88,0101000020E61000002DC3B3FABCD4214091D47C28EC274940
6798,27349,0,0101000020E6100000FBF818039ADE2940E22E49F97ED94740
6799,27349,170.13,0101000020E6100000FBF818039ADE2940E22E49F97ED94740
6800,27198,176.65,0101000020E6100000FBB076D719842540BE7DBBB4D68E4840
6801,27198,0,0101000020E6100000FBB076D719842540BE7DBBB4D68E4840
6802,24527,0,0101000020E6100000A9C9F228F4DB2640F8A0CB879B0E4940
6803,24527,167.16,0101000020E6100000A9C9F228F4DB2640F8A0CB879B0E4940
6804,27388,36.94,0101000020E61000009AD65CCD8478234077243C2F840F4A40
6805,27388,0,0101000020E61000009AD65CCD8478234077243C2F840F4A40
6806,24645,168.38,0101000020E6100000D399AC480A1E2640E359368E22D44840
6807,24645,0,0101000020E6100000D399AC480A1E2640E359368E22D44840
6808,24010,16.63,0101000020E6100000F49FA9994C732140A939C4BEF1D44940
6809,24010,0,0101000020E6100000F49FA9994C732140A939C4BEF1D44940
6810,27082,0,0101000020E610000092816FE4176F2540CE294BB65D364940
6811,27082,178.06,0101000020E610000092816FE4176F2540CE294BB65D364940
6812,26027,34.88,0101000020E6100000BE2A91D424CE244018C5386209CE4A40
6813,26027,0,0101000020E6100000BE2A91D424CE244018C5386209CE4A40
6814,28379,0,0101000020E6100000D4A63A4B6A5B234051EC3A7AFD9D4940
6815,28379,171.58,0101000020E6100000D4A63A4B6A5B234051EC3A7AFD9D4940
6816,25443,179.46,0101000020E61000003543EF4A0F8A24403F4005CE60824940
6817,25443,0,0101000020E61000003543EF4A0F8A24403F4005CE60824940
6818,26552,0,0101000020E6100000BC06668745A22A40B0B40BD4F16E4940
6819,26552,16.58,0101000020E6100000BC06668745A22A40B0B40BD4F16E4940
6820,26552,164.10,0101000020E6100000BC06668745A22A40B0B40BD4F16E4940
6821,26552,0,0101000020E6100000BC06668745A22A40B0B40BD4F16E4940
6822,25273,0,0101000020E6100000D4086910669C26405DC2E8CF9D194840
6823,25273,165.55,0101000020E6100000D4086910669C26405DC2E8CF9D194840
6824,27723,169.23,0101000020E6100000864BAF87A11A25408F314401F63B4A40
6825,25503,5.78,0101000020E6100000843E021930922140C6AAF13368554940
6826,25503,0,0101000020E6100000843E021930922140C6AAF13368554940
6827,25503,0,0101000020E6100000843E021930922140C6AAF13368554940
6828,25503,167.56,0101000020E6100000843E021930922140C6AAF13368554940
6829,23817,0,0101000020E6100000BE35576A3B1721409E8BA8F6BB234940
6830,24717,0,0101000020E61000000FC34C38003D27405460E0904A194A40
6831,24717,17.65,0101000020E61000000FC34C38003D27405460E0904A194A40
6832,25058,16.38,0101000020E6100000575C5454A2CD21408E170C3511044A40
6833,25058,0,0101000020E6100000575C5454A2CD21408E170C3511044A40
6834,25058,6.12,0101000020E6100000575C5454A2CD21408E170C3511044A40
6835,25058,6.01,0101000020E6100000575C5454A2CD21408E170C3511044A40
6836,25058,0,0101000020E6100000575C5454A2CD21408E170C3511044A40
6837,26554,170.21,0101000020E61000005D14643B2BBD22405D901E8683254940
6838,24907,0,0101000020E6100000282525A42C842140B4DAB4BD59624940
6839,24949,0,0101000020E61000003360E9D56D5B2440006D1EC5A7F14940
6840,24745,16.57,0101000020E61000000D294AAE78812740768AD6901F644A40
6841,24745,0,0101000020E61000000D294AAE78812740768AD6901F644A40
6842,24745,173.60,0101000020E61000000D294AAE78812740768AD6901F644A40
6843,24937,169.47,0101000020E6100000F69736CCD9DD2540CE1A1D1B778E4940
6844,24937,0,0101000020E6100000F69736CCD9DD2540CE1A1D1B778E4940
6845,27665,35.83,0101000020E6100000666BA811D9FF21409AA8676557284940
6846,27665,0,0101000020E6100000666BA811D9FF21409AA8676557284940
6847,26480,0,0101000020E6100000A9DFE8B4C67E2440771B1CA401FF4840
6848,26480,16.44,0101000020E6100000A9DFE8B4C67E2440771B1CA401FF4840
6849,26480,0,0101000020E6100000A9DFE8B4C67E2440771B1CA401FF4840
6850,27411,0,0101000020E6100000D983ECA760902340EDAD094AF6C24A40
6851,27411,5.92,0101000020E6100000D983ECA760902340EDAD094AF6C24A40
6852,27411,0,0101000020E6100000D983ECA760902340EDAD094AF6C24A40
6853,27411,174.29,0101000020E6100000D983ECA760902340EDAD094AF6C24A40
6854,27411,0,0101000020E6100000D983ECA760902340EDAD094AF6C24A40
6855,23745,167.20,0101000020E6100000FF0C7B9940F82840635026479AB04940
6856,25193,0,0101000020E610000028D3FDE7F71D2640FBEB261C9B9E4840
6857,25193,165.31,0101000020E610000028D3FDE7F71D2640FBEB261C9B9E4840
6858,23693,0,0101000020E61000001C5907D28B81284033D29059CC954940
6859,23693,175.13,0101000020E61000001C5907D28B81284033D29059CC954940
6860,27128,0,0101000020E610000066DCB4E5C97F29406C517CD3BD5E4940
6861,27128,172.06,0101000020E610000066DCB4E5C97F29406C517CD3BD5E4940
6862,25192,0,0101000020E61000005119AF45E9C62340B95DECB3B0F54A40
6863,25192,37.66,0101000020E61000005119AF45E9C62340B95DECB3B0F54A40
6864,24396,0,0101000020E6100000E61A27235F76214026D7FD1B42414940
6865,24396,166.22,0101000020E6100000E61A27235F76214026D7FD1B42414940
6866,24040,0,0101000020E6100000FCEB259625302240BAACA97A04234940
6867,24040,169.58,0101000020E6100000FCEB259625302240BAACA97A04234940
6868,26485,168.53,0101000020E6100000B61C1751AAC1274044B494FDAD274940
6869,25317,0,0101000020E61000007362DD2AA1D52A4015B34CAFC02F4A40
6870,28357,0,0101000020E61000004F06B0A6D5002340BA76C73052BA4A40
6871,25256,0,0101000020E6100000FB8798CBB8552A402C6F3B00970B4A40
6872,25256,168.17,0101000020E6100000FB8798CBB8552A402C6F3B00970B4A40
6873,27520,0,0101000020E610000090355AC61FDF2340C7E6078FCDCB4940
6874,27520,17.51,0101000020E610000090355AC61FDF2340C7E6078FCDCB4940
6875,24095,162.98,0101000020E6100000DA47E59812D725408E145BD314F84840
6876,24095,0,0101000020E6100000DA47E59812D725408E145BD314F84840
6877,26428,0,0101000020E6100000A43D010F64CF26401E5C6EC9620B4840
6878,26428,168.12,0101000020E6100000A43D010F64CF26401E5C6EC9620B4840
6879,26638,0,0101000020E61000009E50E58575A9274062DC785A7C094A40
6880,26638,169.10,0101000020E61000009E50E58575A9274062DC785A7C094A40
6881,23949,37.80,0101000020E61000007918E44BEFB425404526C30915B64840
6882,23949,0,0101000020E61000007918E44BEFB425404526C30915B64840
6883,27048,36.55,0101000020E61000004CE7F24C5AD628408188593822B44940
6884,27048,0,0101000020E61000004CE7F24C5AD628408188593822B44940
6885,23883,5.98,0101000020E61000004C69D51382E32340E70E9AF5422C4A40
6886,23883,0,0101000020E61000004C69D51382E32340E70E9AF5422C4A40
6887,23883,34.66,0101000020E61000004C69D51382E32340E70E9AF5422C4A40
6888,24353,0,0101000020E6100000A11676FD3BFA224058D4025CB6CB4A40
6889,24353,5.79,0101000020E6100000A11676FD3BFA224058D4025CB6CB4A40
6890,24353,17.68,0101000020E6100000A11676FD3BFA224058D4025CB6CB4A40
6891,24239,16.47,0101000020E61000004B107617DDC12440F9A497E7C9134A40
6892,24239,0,0101000020E61000004B107617DDC12440F9A497E7C9134A40
6893,25392,0,0101000020E6100000B3FF28FCC59E2440093D65E8561A4A40
6894,25392,36.54,0101000020E6100000B3FF28FCC59E2440093D65E8561A4A40
6895,25392,0,0101000020E6100000B3FF28FCC59E2440093D65E8561A4A40
6896,24938,16.02,0101000020E6100000A1F430ED5D28214034FB3D0D9F424940
6897,24938,0,0101000020E6100000A1F430ED5D28214034FB3D0D9F424940
6898,24938,0,0101000020E6100000A1F430ED5D28214034FB3D0D9F424940
6899,24938,17.23,0101000020E6100000A1F430ED5D28214034FB3D0D9F424940
6900,24235,0,0101000020E6100000A33B7002FC1324409042D602BE514A40
6901,24235,36.23,0101000020E6100000A33B7002FC1324409042D602BE514A40
6902,25440,0,0101000020E6100000318E73CDDA582740B33B9E4F96044B40
6903,25440,16.26,0101000020E6100000318E73CDDA582740B33B9E4F96044B40
6904,25440,0,0101000020E6100000318E73CDDA582740B33B9E4F96044B40
6905,28371,6.08,0101000020E6100000F98688089B9D2A4042C66A82F3984940
6906,28371,0,0101000020E6100000F98688089B9D2A4042C66A82F3984940
6907,28371,0,0101000020E6100000F98688089B9D2A4042C66A82F3984940
6908,28371,36.28,0101000020E6100000F98688089B9D2A4042C66A82F3984940
6909,28371,0,0101000020E6100000F98688089B9D2A4042C66A82F3984940
6910,28371,0,0101000020E6100000F98688089B9D2A4042C66A82F3984940
6911,24233,0,0101000020E6100000E939A75DA4382540C01CFC56A9124A40
6912,24233,34.79,0101000020E6100000E939A75DA4382540C01CFC56A9124A40
6913,23874,0,0101000020E6100000ADDD6322C24F214035F7CE92580B4A40
6914,23874,5.72,0101000020E6100000ADDD6322C24F214035F7CE92580B4A40
6915,23874,0,0101000020E6100000ADDD6322C24F214035F7CE92580B4A40
6916,23874,0,0101000020E6100000ADDD6322C24F214035F7CE92580B4A40
6917,23874,36.56,0101000020E6100000ADDD6322C24F214035F7CE92580B4A40
6918,26706,5.93,0101000020E6100000B81B34F96EAC2740212CB69F51E54740
6919,26706,0,0101000020E6100000B81B34F96EAC2740212CB69F51E54740
6920,27115,35.09,0101000020E610000051B064AD002225406F93D20C65724940
6921,27115,0,0101000020E610000051B064AD002225406F93D20C65724940
6922,27115,0,0101000020E610000051B064AD002225406F93D20C65724940
6923,27115,5.82,0101000020E610000051B064AD002225406F93D20C65724940
6924,27115,37.08,0101000020E610000051B064AD002225406F93D20C65724940
6925,27115,0,0101000020E610000051B064AD002225406F93D20C65724940
6926,26126,16.18,0101000020E6100000C73877A0323B2640A4E1E4E1412A4940
6927,26126,0,0101000020E6100000C73877A0323B2640A4E1E4E1412A4940
6928,26126,34.74,0101000020E6100000C73877A0323B2640A4E1E4E1412A4940
6929,24469,0,0101000020E61000005C9B009964F82640D396DE01BC624840
6930,24469,16.59,0101000020E61000005C9B009964F82640D396DE01BC624840
6931,27540,0,0101000020E6100000D971E284E17C2A40C33D91BF8CF54A40
6932,27540,36.70,0101000020E6100000D971E284E17C2A40C33D91BF8CF54A40
6933,27970,0,0101000020E61000005EF74989EDDE2640BE5E688270BF4840
6934,27970,37.94,0101000020E61000005EF74989EDDE2640BE5E688270BF4840
